Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
01/09/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0,103890,,1,1,2
01/16/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.1,104250,,1,1,2
01/23/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.2,104326,,1,1,2
01/30/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.3,104623,,1,1,2
02/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.5,104946,,1,1,2
02/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.7,104927,,1,1,2
02/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.9,105005,,1,1,2
02/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1,105186,,1,1,2
03/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.2,105374,,1,1,2
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.3,105426,,1,1,2
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.4,105416,,1,1,2
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.6,105411,,1,1,2
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.9,105268,,1,1,2
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.2,105282,,1,1,2
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,105334,,1,1,2
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,105124,,1,1,2
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,105018,,1,1,2
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.4,104992,,1,1,2
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.7,104992,,1,1,2
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,105044,,1,1,2
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4,104914,,1,1,2
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,104718,,1,1,2
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,104721,,1,1,2
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104629,,1,1,2
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104633,,1,1,2
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104400,,1,1,2
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104178,,1,1,2
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,104033,,1,1,2
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,103905,,1,1,2
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,103746,,1,1,2
